RD,STNUM,STDIR,STREET,DISTRICT,DATEOCC,TIME,PRIMARY_CLASS,SECONDARY_CLASS,RECOVERED_I
HS102795,12XX,W,FULLERTON AVE,18,3-Jan-10,2:50 AM,THEFT,OVER $500,N
HS111368,40XX,W,25TH ST,10,3-Jan-10,5:00 PM,THEFT,OVER $500,N
HS103680,36XX,N,HALSTED ST,23,3-Jan-10,9:30 PM,THEFT,OVER $500,N
HS103794,109XX,S,AVENUE F,4,3-Jan-10,11:00 PM,THEFT,$500 AND UNDER,N
HS103794,109XX,S,AVENUE F,4,3-Jan-10,11:00 PM,THEFT,$500 AND UNDER,N
HS116292,66XX,W,NORTH AVE,25,11-Jan-10,1:00 PM,THEFT,$500 AND UNDER,N
HS116557,65XX,N,LAKEWOOD AVE,24,11-Jan-10,11:30 PM,THEFT,OVER $500,N
HS116891,60XX,S,HALSTED ST,7,12-Jan-10,4:04 PM,THEFT,$500 AND UNDER,N
HS123475,11XX,N,WINCHESTER AVE,13,13-Jan-10,6:00 PM,THEFT,OVER $500,N
HS120308,8XX,W,BUCKINGHAM PL,23,13-Jan-10,7:30 PM,THEFT,OVER $500,N
HS128641,26XX,W,AGATITE AVE,19,14-Jan-10,3:30 PM,THEFT,OVER $500,N
HS122175,6XX,S,MORGAN ST,12,15-Jan-10,8:00 AM,THEFT,OVER $500,N
HS122869,XX,S,WESTERN AVE,11,16-Jan-10,12:00 AM,THEFT,$500 AND UNDER,N
HS122608,12XX,N,CLEAVER ST,14,16-Jan-10,12:49 AM,THEFT,$500 AND UNDER,N
HS125961,13XX,N,MILWAUKEE AVE,14,17-Jan-10,2:00 AM,THEFT,$500 AND UNDER,N
HS141995,69XX,N,HIAWATHA AVE,16,20-Jan-10,8:15 AM,THEFT,$500 AND UNDER,N
HS134053,39XX,W,FULLERTON AVE,25,23-Jan-10,1:35 PM,THEFT,$500 AND UNDER,N
HS135017,49XX,N,MILWAUKEE AVE,16,23-Jan-10,10:30 PM,THEFT,OVER $500,N
HS135000,12XX,W,WEBSTER AVE,18,24-Jan-10,11:00 AM,THEFT,$500 AND UNDER,N
HS136587,21XX,N,HUDSON AVE,18,25-Jan-10,1:45 PM,THEFT,OVER $500,N
HS138074,28XX,N,WHIPPLE ST,14,25-Jan-10,7:00 PM,THEFT,OVER $500,N
HS137515,5XX,N,ADA ST,13,26-Jan-10,2:00 AM,THEFT,OVER $500,N
HS148978,18XX,W,LAWRENCE AVE,20,27-Jan-10,7:30 AM,THEFT,OVER $500,N
HS148363,7XX,N,DEARBORN ST,18,29-Jan-10,6:30 AM,THEFT,OVER $500,N
HS143659,16XX,W,OHIO ST,13,29-Jan-10,3:00 PM,THEFT,OVER $500,N
HS143545,38XX,W,62ND PL,8,29-Jan-10,8:00 PM,THEFT,$500 AND UNDER,N
HS145242,33XX,S,MORGAN ST,9,31-Jan-10,1:00 PM,THEFT,OVER $500,N
HS165760,3XX,N,DESPLAINES ST,12,2-Feb-10,9:00 AM,THEFT,OVER $500,N
HS149907,47XX,N,RAVENSWOOD AVE,19,3-Feb-10,9:00 AM,THEFT,OVER $500,N
HS150556,27XX,N,WAYNE AVE,19,3-Feb-10,8:30 PM,THEFT,OVER $500,N
HS150556,27XX,N,WAYNE AVE,19,3-Feb-10,8:30 PM,THEFT,OVER $500,N
HS202568,9XX,W,VAN BUREN ST,12,6-Feb-10,12:01 AM,THEFT,OVER $500,N
HS156986,6XX,N,LOTUS AVE,15,6-Feb-10,3:00 PM,THEFT,$500 AND UNDER,N
HS156986,6XX,N,LOTUS AVE,15,6-Feb-10,3:00 PM,THEFT,$500 AND UNDER,N
HS154706,14XX,W,BLACKHAWK ST,14,6-Feb-10,10:00 PM,THEFT,$500 AND UNDER,N
HS157023,70XX,N,RAVENSWOOD AVE,24,8-Feb-10,7:00 AM,THEFT,OVER $500,N
HS158284,37XX,W,DOUGLAS BLVD,10,9-Feb-10,2:30 PM,THEFT,$500 AND UNDER,N
HS533417,20XX,W,CHURCHILL ST,14,12-Feb-10,8:00 AM,THEFT,OVER $500,N
HS163842,37XX,E,106TH ST,4,13-Feb-10,2:00 PM,THEFT,$500 AND UNDER,N
HS165808,7XX,W,GORDON TER,23,15-Feb-10,10:10 AM,THEFT,OVER $500,N
HS170632,7XX,N,FAIRBANKS CT,18,18-Feb-10,7:00 AM,THEFT,OVER $500,N
HS172313,3XX,E,95TH ST,5,19-Feb-10,5:15 PM,THEFT,$500 AND UNDER,N
HS174942,64XX,N,NEWGARD AVE,24,20-Feb-10,3:30 PM,THEFT,OVER $500,N
HS174942,64XX,N,NEWGARD AVE,24,20-Feb-10,3:30 PM,THEFT,OVER $500,N
HS177950,XX,E,WASHINGTON ST,1,23-Feb-10,4:00 PM,THEFT,OVER $500,N
HS265255,3XX,W,31ST ST,21,26-Feb-10,4:00 PM,THEFT,OVER $500,N
HS182986,16XX,W,SCHOOL ST,19,26-Feb-10,8:00 PM,THEFT,OVER $500,N
HS186518,11XX,W,BELDEN AVE,18,1-Mar-10,8:45 AM,THEFT,$500 AND UNDER,N
HS187525,133XX,S,LANGLEY AVE,5,1-Mar-10,1:30 PM,THEFT,OVER $500,N
HS188416,6XX,S,MICHIGAN AVE,1,2-Mar-10,2:00 PM,THEFT,OVER $500,N
HS205728,63XX,W,MONTROSE AVE,16,3-Mar-10,2:00 PM,THEFT,OVER $500,N
HS210210,XX,S,STATE ST,1,3-Mar-10,4:30 PM,THEFT,OVER $500,N
HS190383,20XX,N,ASHLAND AVE,14,3-Mar-10,6:30 PM,THEFT,OVER $500,N
HS192535,19XX,N,ASHLAND AVE,14,4-Mar-10,6:00 AM,THEFT,OVER $500,N
HS194528,XX,S,STATE ST,1,4-Mar-10,6:45 PM,THEFT,OVER $500,N
HS194171,1XX,S,ASHLAND AVE,12,5-Mar-10,12:00 PM,THEFT,$500 AND UNDER,N
HS193148,51XX,S,KEDZIE AVE,8,5-Mar-10,12:00 PM,THEFT,$500 AND UNDER,N
HS195078,42XX,N,SHERIDAN RD,23,6-Mar-10,8:20 PM,THEFT,OVER $500,N
HS198693,25XX,W,ADDISON ST,19,8-Mar-10,8:00 AM,THEFT,$500 AND UNDER,N
HS197246,17XX,N,CLARK ST,18,8-Mar-10,9:30 AM,THEFT,$500 AND UNDER,N
HS200447,72XX,S,EBERHART AVE,3,10-Mar-10,10:45 AM,THEFT,$500 AND UNDER,N
HS201351,22XX,S,WESTERN AVE,10,10-Mar-10,7:30 PM,THEFT,OVER $500,N
HS204629,25XX,S,ARCHER AVE,9,12-Mar-10,8:00 AM,THEFT,$500 AND UNDER,N
HS206715,13XX,N,MILWAUKEE AVE,14,13-Mar-10,12:30 AM,THEFT,OVER $500,N
HS206205,XX,E,ROOSEVELT RD,1,13-Mar-10,5:45 PM,THEFT,OVER $500,N
HS209373,26XX,N,KEDZIE AVE,14,15-Mar-10,3:00 PM,THEFT,OVER $500,N
HS209229,26XX,W,IOWA ST,13,15-Mar-10,3:00 PM,THEFT,$500 AND UNDER,N
HS210806,55XX,N,HARLEM AVE,16,16-Mar-10,11:30 AM,THEFT,OVER $500,N
HS211855,37XX,W,55TH ST,8,16-Mar-10,10:00 PM,THEFT,$500 AND UNDER,N
HS212948,11XX,N,ROCKWELL ST,13,17-Mar-10,7:30 PM,THEFT,$500 AND UNDER,N
HS219030,36XX,N,DAMEN AVE,19,17-Mar-10,8:00 PM,THEFT,OVER $500,N
HS227462,19XX,N,MOZART ST,14,21-Mar-10,11:00 PM,THEFT,OVER $500,N
HS220119,103XX,S,CLAREMONT AVE,22,22-Mar-10,12:47 PM,THEFT,$500 AND UNDER,N
HS231911,68XX,S,OGLESBY AVE,3,22-Mar-10,6:00 PM,THEFT,$500 AND UNDER,N
HS222187,25XX,N,SPAULDING AVE,14,23-Mar-10,10:00 AM,THEFT,$500 AND UNDER,N
HS222053,34XX,N,CENTRAL PARK AVE,17,23-Mar-10,3:45 PM,THEFT,OVER $500,N
HS215489,9XX,N,MOZART ST,13,23-Mar-10,5:00 PM,THEFT,OVER $500,N
HS222422,25XX,N,KEDZIE BLVD,14,23-Mar-10,6:59 PM,THEFT,OVER $500,N
HS223776,34XX,N,ELSTON AVE,17,23-Mar-10,7:00 PM,THEFT,OVER $500,N
HS224446,77XX,N,SHERIDAN RD,24,24-Mar-10,5:30 AM,THEFT,$500 AND UNDER,N
HS223540,21XX,N,CAMPBELL AVE,14,24-Mar-10,10:30 AM,THEFT,$500 AND UNDER,N
HS223749,18XX,W,ESTES AVE,24,24-Mar-10,3:00 PM,THEFT,OVER $500,N
HS231507,16XX,N,WELLS ST,18,25-Mar-10,9:30 AM,THEFT,OVER $500,N
HS225974,4XX,N,CLARK ST,18,25-Mar-10,10:00 AM,THEFT,OVER $500,N
HS268073,37XX,N,WHIPPLE ST,17,25-Mar-10,11:00 PM,THEFT,$500 AND UNDER,N
HS256269,9XX,N,CAMPBELL AVE,13,25-Mar-10,11:00 PM,THEFT,OVER $500,N
HS226672,13XX,N,WELLS ST,18,26-Mar-10,10:30 AM,THEFT,OVER $500,N
HS227887,27XX,W,NORTH AVE,14,27-Mar-10,1:30 AM,THEFT,OVER $500,N
HS229864,23XX,N,STOCKTON DR,18,27-Mar-10,1:00 PM,THEFT,OVER $500,N
HS229264,77XX,S,HONORE ST,6,27-Mar-10,3:30 PM,THEFT,OVER $500,N
HS229871,19XX,W,RACE AVE,13,27-Mar-10,9:00 PM,THEFT,OVER $500,N
HS229871,19XX,W,RACE AVE,13,27-Mar-10,9:00 PM,THEFT,OVER $500,N
HS230413,43XX,N,LEAVITT ST,19,28-Mar-10,6:20 PM,THEFT,OVER $500,N
HS232061,19XX,S,RUBLE ST,12,29-Mar-10,5:00 AM,THEFT,OVER $500,N
HS232257,76XX,S,SOUTH SHORE DR,4,29-Mar-10,8:00 AM,THEFT,$500 AND UNDER,N
HS231236,52XX,S,LINDER AVE,8,29-Mar-10,11:30 AM,THEFT,OVER $500,N
HS232293,14XX,W,SUPERIOR ST,13,29-Mar-10,12:00 PM,THEFT,OVER $500,N
HS231950,20XX,N,BURLING ST,18,29-Mar-10,6:15 PM,THEFT,OVER $500,N
HS234145,29XX,W,BELLE PLAINE AVE,17,29-Mar-10,7:00 PM,THEFT,OVER $500,N
HS232327,29XX,W,LELAND AVE,17,29-Mar-10,8:30 PM,THEFT,OVER $500,N
HS232359,41XX,W,GRENSHAW ST,11,30-Mar-10,12:15 AM,THEFT,$500 AND UNDER,N
HS233032,16XX,E,53RD ST,21,30-Mar-10,1:40 PM,THEFT,OVER $500,N
HS233328,26XX,W,WALTON ST,13,30-Mar-10,4:30 PM,THEFT,OVER $500,N
HS237758,33XX,N,LINCOLN AVE,19,30-Mar-10,7:00 PM,THEFT,OVER $500,N
HS233696,16XX,W,BELMONT AVE,19,30-Mar-10,8:30 PM,THEFT,OVER $500,N
HS239882,XX,N,LA SALLE ST,1,31-Mar-10,8:30 AM,THEFT,OVER $500,N
HS234342,6XX,S,MICHIGAN AVE,1,31-Mar-10,10:30 AM,THEFT,$500 AND UNDER,N
HS234587,26XX,N,MC VICKER AVE,25,31-Mar-10,12:30 PM,THEFT,$500 AND UNDER,N
HS236316,36XX,N,RAVENSWOOD AVE,19,31-Mar-10,5:00 PM,THEFT,OVER $500,N
HS237298,14XX,S,EMERALD AVE,12,1-Apr-10,8:00 AM,THEFT,OVER $500,N
HS238606,21XX,W,CULLERTON ST,12,1-Apr-10,9:00 AM,THEFT,$500 AND UNDER,N
HS238606,21XX,W,CULLERTON ST,12,1-Apr-10,9:00 AM,THEFT,$500 AND UNDER,N
HS236005,9XX,N,CAMPBELL AVE,13,1-Apr-10,9:37 AM,THEFT,OVER $500,N
HS236508,39XX,N,NEWCASTLE AVE,16,1-Apr-10,1:30 PM,THEFT,$500 AND UNDER,N
HS238045,28XX,N,MILWAUKEE AVE,14,1-Apr-10,8:00 PM,THEFT,OVER $500,N
HS237044,16XX,W,NELSON ST,19,1-Apr-10,8:00 PM,THEFT,$500 AND UNDER,N
HS238057,31XX,S,LOWE AVE,9,2-Apr-10,1:30 AM,THEFT,OVER $500,N
HS242559,2XX,E,SUPERIOR ST,18,2-Apr-10,8:00 AM,THEFT,$500 AND UNDER,N
HS237974,2XX,W,ADAMS ST,1,2-Apr-10,8:30 AM,THEFT,$500 AND UNDER,N
HS238087,8XX,W,BELDEN AVE,18,2-Apr-10,10:00 AM,THEFT,OVER $500,N
HS237871,55XX,W,ROSCOE ST,16,2-Apr-10,10:22 AM,THEFT,OVER $500,N
HS237986,48XX,W,PETERSON AVE,16,2-Apr-10,10:30 AM,THEFT,OVER $500,N
HS239449,40XX,N,RAVENSWOOD AVE,19,2-Apr-10,12:00 PM,THEFT,OVER $500,N
HS431150,70XX,N,CALDWELL AVE,16,2-Apr-10,3:30 PM,THEFT,$500 AND UNDER,N
HS240932,5XX,W,MONROE ST,1,2-Apr-10,8:00 PM,THEFT,OVER $500,N
HS244548,19XX,W,CULLOM AVE,19,2-Apr-10,9:00 PM,THEFT,OVER $500,N
HS240188,83XX,S,RACINE AVE,6,3-Apr-10,6:15 PM,THEFT,$500 AND UNDER,N
HS241269,1XX,N,MICHIGAN AVE,1,4-Apr-10,12:30 AM,THEFT,OVER $500,N
HS244907,15XX,N,DAMEN AVE,14,4-Apr-10,7:00 PM,THEFT,$500 AND UNDER,N
HS244280,2XX,S,LOWER WACKER DR,1,5-Apr-10,9:00 AM,THEFT,OVER $500,N
HS242208,29XX,N,LINCOLN AVE,19,5-Apr-10,10:45 AM,THEFT,OVER $500,N
HS246473,22XX,N,CANNON DR,18,5-Apr-10,3:30 PM,THEFT,OVER $500,N
HS242809,11XX,W,FULLERTON AVE,19,5-Apr-10,4:55 PM,THEFT,OVER $500,N
HS243190,3XX,S,KEDZIE AVE,11,5-Apr-10,7:00 PM,THEFT,OVER $500,N
HS243125,5XX,W,JACKSON BLVD,1,5-Apr-10,7:00 PM,THEFT,OVER $500,N
HS243362,7XX,N,CARPENTER ST,13,5-Apr-10,10:00 PM,THEFT,OVER $500,N
HS244332,16XX,N,WELLS ST,18,6-Apr-10,12:30 PM,THEFT,OVER $500,N
HS245559,14XX,W,CHICAGO AVE,13,6-Apr-10,6:00 PM,THEFT,OVER $500,N
HS249507,76XX,N,EASTLAKE TER,24,6-Apr-10,6:30 PM,THEFT,$500 AND UNDER,N
HS245925,10XX,W,NORTH AVE,18,7-Apr-10,1:30 PM,THEFT,OVER $500,N
HS248076,72XX,S,TROY ST,8,8-Apr-10,3:00 AM,THEFT,OVER $500,N
HS248836,XX,W,WACKER DR,1,8-Apr-10,12:30 PM,THEFT,OVER $500,N
HS248318,26XX,W,NORTH AVE,14,8-Apr-10,9:30 PM,THEFT,OVER $500,N
HS248318,26XX,W,NORTH AVE,14,8-Apr-10,9:30 PM,THEFT,OVER $500,N
HS248318,26XX,W,NORTH AVE,14,8-Apr-10,9:30 PM,THEFT,OVER $500,N
HS250538,XX,S,WACKER DR,1,9-Apr-10,9:00 AM,THEFT,OVER $500,N
HS249945,2XX,N,WABASH AVE,1,9-Apr-10,2:00 PM,THEFT,$500 AND UNDER,N
HS273921,27XX,S,ST LOUIS AVE,10,10-Apr-10,12:00 AM,THEFT,OVER $500,N
HS251294,2XX,N,STETSON AVE,1,10-Apr-10,10:45 AM,THEFT,OVER $500,N
HS251565,1XX,W,JACKSON BLVD,1,10-Apr-10,12:00 PM,THEFT,OVER $500,N
HS252020,14XX,S,LAKE SHORE DR E,1,10-Apr-10,1:00 PM,THEFT,OVER $500,N
HS279396,1XX,S,MICHIGAN AVE,1,10-Apr-10,1:38 PM,THEFT,OVER $500,N
HS255466,16XX,W,BARRY AVE,19,10-Apr-10,3:00 PM,THEFT,$500 AND UNDER,N
HS253492,51XX,W,DEMING PL,25,10-Apr-10,4:00 PM,THEFT,$500 AND UNDER,N
HS251349,66XX,S,COTTAGE GROVE AVE,3,10-Apr-10,7:00 PM,THEFT,$500 AND UNDER,N
HS251405,82XX,S,PEORIA ST,6,10-Apr-10,7:30 PM,THEFT,$500 AND UNDER,N
HS255968,14XX,N,MILWAUKEE AVE,14,10-Apr-10,9:00 PM,THEFT,OVER $500,N
HS257296,14XX,S,LAKE SHORE DR E,1,11-Apr-10,1:00 PM,THEFT,OVER $500,N
HS252929,89XX,S,BISHOP ST,22,11-Apr-10,2:00 PM,THEFT,$500 AND UNDER,N
HS253325,8XX,N,MAPLEWOOD AVE,13,11-Apr-10,3:00 PM,THEFT,OVER $500,N
HS252786,56XX,N,NATOMA AVE,16,11-Apr-10,3:00 PM,THEFT,$500 AND UNDER,N
HS252624,54XX,S,CARPENTER ST,9,11-Apr-10,4:30 PM,THEFT,$500 AND UNDER,N
HS252777,6XX,N,ORLEANS ST,18,11-Apr-10,6:00 PM,THEFT,OVER $500,N
HS254232,20XX,N,ASHLAND AVE,14,12-Apr-10,7:15 AM,THEFT,OVER $500,N
HS255365,1XX,N,MICHIGAN AVE,1,12-Apr-10,8:20 AM,THEFT,OVER $500,N
HS261123,2XX,W,NORTH AVE,18,12-Apr-10,7:00 PM,THEFT,OVER $500,N
HS255354,37XX,W,MARQUETTE RD,8,12-Apr-10,8:00 PM,THEFT,OVER $500,N
HS255354,37XX,W,MARQUETTE RD,8,12-Apr-10,8:00 PM,THEFT,OVER $500,N
HS256814,32XX,W,FOSTER AVE,17,13-Apr-10,8:00 AM,THEFT,OVER $500,N
HS256099,55XX,N,ARTESIAN AVE,20,13-Apr-10,11:00 AM,THEFT,$500 AND UNDER,N
HS256085,24XX,S,SAWYER AVE,10,13-Apr-10,2:00 PM,THEFT,$500 AND UNDER,N
HS255919,6XX,N,ST CLAIR ST,18,13-Apr-10,2:25 PM,THEFT,OVER $500,N
HS255703,33XX,N,SHEFFIELD AVE,19,13-Apr-10,2:30 PM,THEFT,OVER $500,N
HS256023,2XX,S,MICHIGAN AVE,1,13-Apr-10,5:30 PM,THEFT,OVER $500,N
HS256669,6XX,W,COURT PL,1,14-Apr-10,7:00 AM,THEFT,OVER $500,N
HS257546,55XX,N,HARLEM AVE,16,14-Apr-10,8:00 AM,THEFT,OVER $500,N
HS317510,3XX,E,PERSHING RD,2,14-Apr-10,11:00 AM,THEFT,$500 AND UNDER,N
HS257273,10XX,N,LOCKWOOD AVE,15,14-Apr-10,2:40 PM,THEFT,$500 AND UNDER,N
HS257454,13XX,S,MICHIGAN AVE,1,14-Apr-10,3:00 PM,THEFT,OVER $500,N
HS263921,6XX,N,ST CLAIR ST,18,14-Apr-10,3:15 PM,THEFT,OVER $500,N
HS257536,26XX,N,HALSTED ST,19,14-Apr-10,5:15 PM,THEFT,OVER $500,N
HS257689,XX,E,WASHINGTON ST,1,14-Apr-10,6:00 PM,THEFT,$500 AND UNDER,N
HS331625,14XX,W,FLOURNOY ST,12,15-Apr-10,8:00 AM,THEFT,$500 AND UNDER,N
HS259440,2XX,E,CHICAGO AVE,18,15-Apr-10,11:00 AM,THEFT,OVER $500,N
HS259163,XX,N,MICHIGAN AVE,1,15-Apr-10,12:00 PM,THEFT,OVER $500,N
HS258868,55XX,S,RACINE AVE,7,15-Apr-10,12:35 PM,THEFT,$500 AND UNDER,N
HS258992,9XX,W,NORTH AVE,18,15-Apr-10,1:15 PM,THEFT,$500 AND UNDER,N
HS259594,35XX,N,CUMBERLAND AVE,16,15-Apr-10,7:00 PM,THEFT,$500 AND UNDER,N
HS262756,2XX,S,DEARBORN ST,1,16-Apr-10,9:15 AM,THEFT,OVER $500,N
HS266034,8XX,S,OAKLEY BLVD,12,16-Apr-10,6:00 PM,THEFT,$500 AND UNDER,N
HS261732,18XX,W,17TH ST,12,16-Apr-10,9:30 PM,THEFT,$500 AND UNDER,N
HS262287,29XX,N,RICHMOND ST,14,17-Apr-10,3:00 AM,THEFT,OVER $500,N
HS262565,8XX,W,MONTROSE AVE,23,17-Apr-10,1:00 PM,THEFT,OVER $500,N
HS265747,35XX,W,BEACH AVE,14,17-Apr-10,3:00 PM,THEFT,$500 AND UNDER,N
HS263546,18XX,W,SCHOOL ST,19,17-Apr-10,10:00 PM,THEFT,OVER $500,N
HS266206,37XX,N,KEDZIE AVE,17,18-Apr-10,6:00 AM,THEFT,OVER $500,N
HS269016,9XX,W,AINSLIE ST,20,18-Apr-10,10:00 AM,THEFT,OVER $500,N
HS264056,1XX,S,MICHIGAN AVE,1,18-Apr-10,11:00 AM,THEFT,OVER $500,N
HS264110,1XX,N,HARBOR DR,1,18-Apr-10,12:30 PM,THEFT,$500 AND UNDER,N
HS264092,XX,E,LOWER WACKER DR,1,18-Apr-10,1:00 PM,THEFT,$500 AND UNDER,N
HS265033,1XX,S,MICHIGAN AVE,1,18-Apr-10,1:30 PM,THEFT,OVER $500,N
HS267274,17XX,N,KIMBALL AVE,14,19-Apr-10,1:00 AM,THEFT,OVER $500,N
HS269086,48XX,N,RAVENSWOOD AVE,20,19-Apr-10,9:00 AM,THEFT,OVER $500,N
HS265950,8XX,N,MILWAUKEE AVE,13,19-Apr-10,12:30 PM,THEFT,$500 AND UNDER,N
HS265329,9XX,N,KINGSBURY ST,18,19-Apr-10,1:15 PM,THEFT,OVER $500,N
HS269287,50XX,N,CLARK ST,20,20-Apr-10,7:00 AM,THEFT,OVER $500,N
HS267790,50XX,W,BELMONT AVE,25,20-Apr-10,8:00 AM,THEFT,OVER $500,N
HS267790,50XX,W,BELMONT AVE,25,20-Apr-10,8:00 AM,THEFT,OVER $500,N
HS266646,2XX,S,FRANKLIN ST,1,20-Apr-10,8:00 AM,THEFT,OVER $500,N
HS273550,5XX,W,CORNELIA AVE,23,20-Apr-10,8:00 AM,THEFT,$500 AND UNDER,N
HS266728,12XX,S,STATE ST,1,20-Apr-10,10:20 AM,THEFT,OVER $500,N
HS266773,3XX,W,WEBSTER AVE,18,20-Apr-10,11:20 AM,THEFT,$500 AND UNDER,N
HS267759,9XX,W,FULLERTON AVE,19,20-Apr-10,2:00 PM,THEFT,$500 AND UNDER,N
HS269880,63XX,N,LAKEWOOD AVE,24,20-Apr-10,5:00 PM,THEFT,OVER $500,N
HS267688,34XX,N,OTTAWA AVE,16,20-Apr-10,5:00 PM,THEFT,$500 AND UNDER,N
HS269509,3XX,S,CLINTON ST,1,21-Apr-10,10:00 PM,THEFT,OVER $500,N
HS271500,16XX,W,NORTH AVE,14,22-Apr-10,1:00 PM,THEFT,OVER $500,N
HS271636,7XX,N,CARPENTER ST,13,22-Apr-10,3:40 PM,THEFT,OVER $500,N
HS271801,60XX,N,ROCKWELL ST,24,22-Apr-10,6:00 PM,THEFT,$500 AND UNDER,N
HS272209,29XX,N,RACINE AVE,19,22-Apr-10,6:00 PM,THEFT,OVER $500,N
HS272054,11XX,N,WOLCOTT AVE,13,22-Apr-10,11:00 PM,THEFT,OVER $500,N
HS276944,28XX,W,LYNDALE ST,14,23-Apr-10,5:00 PM,THEFT,OVER $500,N
HS272520,16XX,N,PAULINA ST,14,23-Apr-10,6:35 PM,THEFT,OVER $500,N
HS272978,10XX,W,GEORGE ST,19,24-Apr-10,12:00 AM,THEFT,OVER $500,N
HS273887,46XX,N,LAVERGNE AVE,16,24-Apr-10,2:40 PM,THEFT,OVER $500,N
HS273887,46XX,N,LAVERGNE AVE,16,24-Apr-10,2:40 PM,THEFT,OVER $500,N
HS274154,3XX,N,LARAMIE AVE,15,24-Apr-10,5:45 PM,THEFT,$500 AND UNDER,N
HS274470,23XX,N,KEDVALE AVE,25,24-Apr-10,10:25 PM,THEFT,$500 AND UNDER,N
HS275016,17XX,W,SUNNYSIDE AVE,19,25-Apr-10,9:50 AM,THEFT,$500 AND UNDER,N
HS277652,48XX,N,RAVENSWOOD AVE,20,26-Apr-10,6:30 AM,THEFT,$500 AND UNDER,N
HS277541,91XX,S,PROSPECT SQ,22,26-Apr-10,8:30 AM,THEFT,OVER $500,N
HS276713,46XX,N,BROADWAY,23,26-Apr-10,12:23 PM,THEFT,$500 AND UNDER,N
HS279181,17XX,N,SAWYER AVE,14,26-Apr-10,3:00 PM,THEFT,$500 AND UNDER,N
HS277540,66XX,S,CORNELL DR,3,26-Apr-10,5:34 PM,THEFT,$500 AND UNDER,N
HS280054,24XX,W,POTOMAC AVE,14,26-Apr-10,7:00 PM,THEFT,OVER $500,N
HS278097,1XX,E,116TH ST,5,26-Apr-10,11:30 PM,THEFT,$500 AND UNDER,N
HS336956,15XX,N,CALIFORNIA AVE,14,27-Apr-10,1:00 AM,THEFT,$500 AND UNDER,N
HS283972,11XX,N,WINCHESTER AVE,13,27-Apr-10,9:00 AM,THEFT,OVER $500,N
HS286046,40XX,N,SOUTHPORT AVE,19,27-Apr-10,9:20 PM,THEFT,OVER $500,N
HS280294,50XX,W,CORNELIA AVE,16,27-Apr-10,10:00 PM,THEFT,$500 AND UNDER,N
HS292703,24XX,N,MAPLEWOOD AVE,14,28-Apr-10,9:00 AM,THEFT,$500 AND UNDER,N
HS281016,9XX,N,NORTH BRANCH ST,18,28-Apr-10,11:30 AM,THEFT,$500 AND UNDER,N
HS289033,1XX,S,CANAL ST,1,28-Apr-10,2:00 PM,THEFT,$500 AND UNDER,N
HS280578,10XX,W,115TH ST,22,28-Apr-10,3:30 PM,THEFT,$500 AND UNDER,N
HS281341,30XX,W,83RD ST,8,28-Apr-10,4:00 PM,THEFT,$500 AND UNDER,N
HS285467,12XX,N,ASHLAND AVE,14,28-Apr-10,6:00 PM,THEFT,OVER $500,N
HS280935,42XX,W,13TH ST,10,28-Apr-10,6:30 PM,THEFT,$500 AND UNDER,N
HS281196,25XX,N,SHEFFIELD AVE,19,28-Apr-10,8:40 PM,THEFT,OVER $500,N
HS282822,1XX,N,WACKER DR,1,29-Apr-10,7:30 AM,THEFT,OVER $500,N
HS281933,6XX,N,ST CLAIR ST,18,29-Apr-10,9:30 AM,THEFT,$500 AND UNDER,N
HS282233,1XX,S,RIVERSIDE PLZ,1,29-Apr-10,11:00 AM,THEFT,OVER $500,N
HS282207,33XX,W,PIERCE AVE,14,29-Apr-10,3:00 PM,THEFT,$500 AND UNDER,N
HS282418,XX,E,MONROE ST,1,29-Apr-10,5:00 PM,THEFT,$500 AND UNDER,N
HS282584,20XX,N,ASHLAND AVE,14,29-Apr-10,6:00 PM,THEFT,OVER $500,N
HS285518,68XX,S,WABASH AVE,3,29-Apr-10,6:00 PM,THEFT,$500 AND UNDER,N
HS283463,16XX,W,CONGRESS PKWY,12,29-Apr-10,6:00 PM,THEFT,OVER $500,N
HS283294,3XX,S,WACKER DR,1,29-Apr-10,6:05 PM,THEFT,OVER $500,N
HS282951,2XX,S,CANAL ST,1,29-Apr-10,9:00 PM,THEFT,OVER $500,N
HS285683,73XX,N,WOLCOTT AVE,24,30-Apr-10,12:00 AM,THEFT,$500 AND UNDER,N
HS284110,83XX,S,HOMAN AVE,8,30-Apr-10,8:00 AM,THEFT,$500 AND UNDER,N
HS283602,45XX,S,FAIRFIELD AVE,9,30-Apr-10,10:30 AM,THEFT,$500 AND UNDER,N
HS283602,45XX,S,FAIRFIELD AVE,9,30-Apr-10,10:30 AM,THEFT,$500 AND UNDER,N
HS291155,8XX,W,CORNELIA AVE,23,30-Apr-10,1:00 PM,THEFT,OVER $500,N
HS284478,36XX,W,ARMITAGE AVE,25,30-Apr-10,6:00 PM,THEFT,OVER $500,N
HS302543,14XX,N,WOOD ST,14,30-Apr-10,8:00 PM,THEFT,OVER $500,N
HS289149,27XX,W,JEROME ST,24,1-May-10,12:00 AM,THEFT,OVER $500,N
HS285294,34XX,W,65TH PL,8,1-May-10,12:01 AM,THEFT,OVER $500,N
HT261729,58XX,N,BROADWAY,20,1-May-10,12:01 AM,THEFT,OVER $500,N
HS289173,29XX,W,FLETCHER ST,14,1-May-10,10:30 AM,THEFT,OVER $500,N
